,Content
0,"- É preciso compreender aqueles que ainda não decidiram e lhes oferecer segurança para que façam a melhor escolha para o futuro da nossa nação. Mais do que promessas vazias e abstratas, o Brasil precisa de um caminho sólido, pautado em ações concretas e, sobretudo, em princípios."
1,"- Logo mais, às 19h, faremos um importante anúncio em nossas redes sociais. Peço que compartilhem este convite com todos os seus contatos para que o nosso anúncio chegue a todos os brasileiros. Voltamos em breve!"
2,"- Diferente de Lula, temos orgulho dos quase 14 milhões de microempreendedores individuais (MEIs) espalhados pelo Brasil. Não são menos trabalhadores porque resolveram abrir seu próprio negócio. Pelo contrário, além de ralarem muito, também geram centenas de milhares de empregos!"
3,"- Governo Jair Bolsonaro: Desemprego recua para 8,7% e atinge menor taxa em quase uma década. Isso com uma pandemia e uma guerra que afeta toda a economia mundial.

- Privatizações, concessões, desburocratizações e confiança no Governo Federal.

- Ainda há muito o que fazer!"
4,"- Ferramenta Inovadora: O agricultor da reforma agrária já pode emitir contrato de concessão do lote pela internet. 

- Desburocratizações e digitalizações recordes, meio ambiente, recordes de entrega de títulos de propriedade e inclusão."
5,"- Repudio as falas do Sr. Roberto Jefferson contra a Ministra Carmen Lúcia e sua ação armada contra agentes da PF, bem como a existência de inquéritos sem nenhum respaldo na Constituição e sem a atuação do MP."
6,"- ""Não tenhas medo, porque eu estou contigo"" Isaías 41:10

- A força de vontade dos que querem destruir a liberdade em nosso país é grande, mas jamais será maior do que a determinação e a coragem daqueles que estão dispostos a protegê-la de todo o mal!

- Bom dia a todos! 🇧🇷"
7,"- Hoje, por volta das 18h, participarei do podcast Inteligência Ltda com o @RogerioVilela 

- Se possível, peço que nos acompanhe!"
8,"- RECORDES: Nova ação diária da PRF em MT causa prejuízo de R$ 61 milhões para o tráfico de drogas: 341 kg de cocaína.

- A droga apreendida foi encaminhada à Polícia Judiciária para incineração, vidas e famílias salvas."
9,"- Todos sabem que em áreas dominadas pelo tráfico só entra em paz quem é amigo dos bandidos. Ao afirmar que visitou uma comunidade controlada por uma das maiores facções sem nenhuma proteção, coisa que nem a polícia consegue, Lula mostra mais uma vez que é o candidato do crime."
10,- Mantenham o foco e continuem empenhados em esclarecer a verdade sobre os valores que defendemos àquelas pessoas que estão dispostas a ouvir e entender! É natural que a gritaria do lado de lá aumente e que os ataques se tornem ainda mais baixos. Estão ficando sem alternativas.
11,"- Neste dia dos professores, que todos os mestres tenham o sentimento de dever cumprido, que em condições precárias ou confortáveis, em locais próximos ou distantes, saibam que cumprem uma missão civilizadora. Os professores são a imagem da sabedoria que queremos um dia possuir."
